handle,COA,COB,COC,COD,CASH
natalierachel,300,100,100,100,40000
ms5559,300,100,100,100,40000
steveklise,300,100,100,100,40000
xiehan,300,100,100,100,40000
suvarchala,100,300,100,100,40000
itscolombo,100,300,100,100,40000
ethadarave,100,300,100,100,40000
0hamgeek,100,300,100,100,40000
gtrefry,100,100,300,100,40000
alliwalk,100,100,300,100,40000
suzkita,100,100,300,100,40000
spikespike,100,100,300,100,40000
sebastianmiwara,100,100,100,300,40000
paulmay,100,100,100,300,40000
esoTaqui,100,100,100,300,40000
frankieitp,100,100,100,300,40000
